No.1
result_angle
339	190	
90	11	
53	11	
21	2	
725	662	
Crossover
159	370	310	219	350	179	415	114	179	350	
91	10	91	10	90	11	90	11	10	91	
39	25	51	13	51	13	35	29	51	13	
1	22	22	1	21	2	16	7	0	23	
660	727	663	724	662	725	727	660	726	661	
Mutation
159	370	310	219	350	179	415	114	179	350	
91	10	91	10	90	11	90	11	10	91	
39	25	51	13	51	13	35	29	51	13	
1	22	22	1	21	2	16	7	0	23	
660	727	663	724	662	725	727	660	726	661	
No.2
result_angle
159	370	
91	10	
39	25	
1	22	
660	727	
Crossover
478	51	83	446	307	222	478	51	90	439	
75	26	90	11	90	11	10	91	91	10	
7	57	57	7	21	43	39	25	13	51	
7	16	6	17	18	5	17	6	6	17	
726	661	662	725	727	660	726	661	726	661	
Mutation
478	51	83	446	307	222	478	51	90	439	
75	26	90	11	90	11	10	91	91	10	
7	57	57	7	21	43	39	25	13	51	
7	16	6	17	18	5	17	6	6	17	
726	661	662	725	727	660	726	661	726	661	
No.3
