No.1
result_angle
64	436	
44	44	
91	314	
35	74	
526	981	
Crossover
4	496	116	384	436	64	80	420	404	96	
44	44	44	44	44	44	44	44	44	44	
91	314	282	123	122	283	90	315	58	347	
106	3	3	106	107	2	99	10	75	34	
535	972	798	709	781	726	671	836	734	773	
Mutation
4	496	116	384	436	64	80	420	404	96	
44	44	44	44	44	44	44	44	44	44	
91	314	282	123	122	283	90	315	58	347	
106	3	3	106	107	2	99	10	75	34	
535	972	798	709	781	758	671	836	734	773	
No.2
result_angle
436	404	
44	44	
122	58	
107	75	
781	734	
Crossover
436	404	404	436	404	436	404	436	404	436	
44	44	44	44	44	44	44	44	44	44	
58	122	58	122	122	58	58	122	122	58	
75	107	75	107	107	75	107	75	75	107	
541	974	654	861	591	924	975	540	926	589	
Mutation
436	404	404	436	404	436	404	436	404	436	
44	44	44	44	44	44	44	44	44	44	
58	122	58	122	122	58	58	122	122	58	
75	107	75	107	107	75	107	75	75	107	
541	974	654	861	591	924	975	540	926	589	
No.3
