No.1,,,,,,,,,
result_angle,,,,,,,,,
233,99,,,,,,,,
10,52,,,,,,,,
124,120,,,,,,,,
67,79,,,,,,,,
820,937,,,,,,,,
Crossover,,,,,,,,,
67,67,67,67,67,67,67,67,67,67
945,945,945,945,945,945,945,945,945,945
No.10,,,,,,,,,
result_angle,,,,,,,,,
97,97,,,,,,,,
22,22,,,,,,,,
120,120,,,,,,,,
67,67,,,,,,,,
945,945,,,,,,,,
Crossover,,,,,,,,,
97,97,97,97,97,97,97,97,97,97
22,22,22,22,22,22,22,22,22,22
120,120,120,120,120,120,120,120,120,120
67,67,67,67,67,67,67,67,67,67
945,945,945,945,945,945,945,945,945,945
Mutation,,,,,,,,,
97,97,97,97,97,97,97,97,97,97
22,22,22,22,18,22,23,22,22,22
120,120,120,120,120,120,120,120,120,120
67,67,67,67,67,67,67,67,67,67
945,945,945,945,945,945,945,945,945,945
final_result,,,,,,,,,
97,97,,,,,,,,
22,22,,,,,,,,
120,120,,,,,,,,
67,67,,,,,,,,
945,945,,,,,,,,
