209,51,242,53,701,
353,56,503,6,814,
167,75,5,65,406,
128,45,23,55,925,
289,72,279,57,530,
68,46,361,5,661,
128,45,23,53,925,
353,57,503,6,814,
448,68,61,82,627,
128,45,23,62,925,
289,72,279,58,530,
448,68,62,82,627,
353,57,503,6,814,
205,11,250,24,657,
128,45,23,53,925,
353,57,503,6,815,
128,45,23,53,925,
128,45,23,55,925,
128,45,23,53,925,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
166,82,5,64,406,
128,45,23,53,925,
128,45,23,55,925,
128,45,23,55,925,
68,46,368,3,663,
128,45,23,55,925,
289,72,279,58,530,
289,72,279,58,530,
353,57,503,6,815,
128,45,23,53,925,
166,82,5,66,406,
353,56,503,6,815,
128,45,23,55,925,
128,45,23,53,925,
166,82,5,66,406,
213,91,248,82,745,
353,57,503,6,814,
68,46,368,7,659,
205,11,250,24,657,
128,45,23,55,925,
213,91,232,82,745,
128,45,23,53,925,
128,45,23,53,925,
68,46,304,3,663,
166,82,5,66,406,
448,68,62,82,627,
289,72,279,58,530,
128,45,23,55,925,
68,46,368,7,659,
289,72,279,58,530,
68,46,368,3,663,
182,82,5,66,406,
448,68,62,82,635,
128,45,23,53,925,
353,57,503,6,815,
289,72,279,58,530,
448,68,62,82,627,
128,45,23,117,925,
205,11,250,24,657,
289,72,279,56,530,
353,56,503,6,815,
353,57,503,6,815,
213,91,232,82,745,
128,45,23,53,925,
448,68,62,82,627,
353,57,503,6,815,
68,46,368,7,659,
68,46,368,3,663,
289,72,279,58,530,
291,72,279,58,530,
353,57,503,6,814,
68,46,368,7,659,
166,82,5,66,406,
68,46,368,3,663,
205,11,250,24,657,
213,91,232,82,745,
205,11,250,24,657,
166,82,5,66,406,
166,82,5,66,406,
353,57,503,6,815,
217,98,209,83,765,
448,68,62,82,627,
448,68,62,82,627,
353,57,503,6,814,
166,18,5,66,406,
54,28,441,11,619,
62,52,425,1,569,
76,12,392,3,587,
128,45,23,53,925,
353,57,503,6,814,
136,59,103,17,594,
448,68,58,82,627,
353,56,503,6,815,
448,68,62,82,627,
26,69,228,45,698,
9,89,32,71,563,
