ClusterNo.1, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.2, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.3, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.4, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.5, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.6, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.7, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.8, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.9, ParameterNo.1,2,3,4,5,6,7,8,9,10,ClusterNo.10, ParameterNo.1,2,3,4,5,6,7,8,9,10,Loop Count:1, Cluster No:1,Values0,0,0,0,0,0,0,0,0,0
 Cluster No:10,30,24,15,33,17,23,17,20,13,13,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop Count:3, Cluster No:1,Values0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:2,31,30,30,15,31,34,33,29,3,-1,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:3,18,31,28,22,20,21,1,16,41,35,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:4,23,20,22,23,21,22,23,19,15,21,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:5,28,25,28,26,6,3,31,29,30,22,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:6,28,34,37,30,45,35,35,32,36,32,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:7,22,32,22,38,23,35,25,28,23,28,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cluster No:8,23,26,8,9,22,33,18,32,27,37,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
